time,Backup:backupCopyFilesCount,Backup:backupCopyFilesMs,BtreeOp:nBinDeltaDelete,BtreeOp:nBinDeltaGet,BtreeOp:nBinDeltaInsert,BtreeOp:nBinDeltaUpdate,BtreeOp:nRootSplits,BtreeOp:relatchesRequired,Cache:DOSBytes,Cache:adminBytes,Cache:cacheTotalBytes,Cache:dataBytes,Cache:lockBytes,Cache:lruDirtySize,Cache:lruMixedSize,Cache:nBINDeltasFetchMiss,Cache:nBINsFetch,Cache:nBINsFetchMiss,Cache:nBINsFetchMissRatio,Cache:nBinDeltaBlindOps,Cache:nBytesEvictedCACHEMODE,Cache:nBytesEvictedCRITICAL,Cache:nBytesEvictedDAEMON,Cache:nBytesEvictedEVICTORTHREAD,Cache:nBytesEvictedMANUAL,Cache:nCachedBINDeltas,Cache:nCachedBINs,Cache:nCachedUpperINs,Cache:nDirtyNodesEvicted,Cache:nEvictionRuns,Cache:nFullBINsMiss,Cache:nINCompactKey,Cache:nINNoTarget,Cache:nINSparseTarget,Cache:nLNsEvicted,Cache:nLNsFetch,Cache:nLNsFetchMiss,Cache:nNodesEvicted,Cache:nNodesMovedToDirtyLRU,Cache:nNodesMutated,Cache:nNodesPutBack,Cache:nNodesSkipped,Cache:nNodesStripped,Cache:nNodesTargeted,Cache:nRootNodesEvicted,Cache:nSharedCacheEnvironments,Cache:nThreadUnavailable,Cache:nUpperINsFetch,Cache:nUpperINsFetchMiss,Cache:sharedCacheTotalBytes,Checkpoints:lastCheckpointEnd,Checkpoints:lastCheckpointId,Checkpoints:lastCheckpointInterval,Checkpoints:lastCheckpointStart,Checkpoints:nCheckpoints,Checkpoints:nDeltaINFlush,Checkpoints:nFullBINFlush,Checkpoints:nFullINFlush,Cleaning:activeLogSize,Cleaning:availableLogSize,Cleaning:maxPredictedUtilization,Cleaning:maxUtilization,Cleaning:minPredictedUtilization,Cleaning:minUtilization,Cleaning:nBINDeltasCleaned,Cleaning:nBINDeltasDead,Cleaning:nBINDeltasMigrated,Cleaning:nBINDeltasObsolete,Cleaning:nCleanerDeletions,Cleaning:nCleanerDisksReads,Cleaning:nCleanerEntriesRead,Cleaning:nCleanerRuns,Cleaning:nINsCleaned,Cleaning:nINsDead,Cleaning:nINsMigrated,Cleaning:nINsObsolete,Cleaning:nLNQueueHits,Cleaning:nLNsCleaned,Cleaning:nLNsDead,Cleaning:nLNsExpired,Cleaning:nLNsExtinct,Cleaning:nLNsLocked,Cleaning:nLNsMarked,Cleaning:nLNsMigrated,Cleaning:nLNsObsolete,Cleaning:nPendingDBsIncomplete,Cleaning:nPendingDBsProcessed,Cleaning:nPendingLNsLocked,Cleaning:nPendingLNsProcessed,Cleaning:nRevisalRuns,Cleaning:nTwoPassRuns,Cleaning:pendingDBQueueSize,Cleaning:pendingLNQueueSize,Cleaning:protectedLogSize,Cleaning:protectedLogSizeMap,Cleaning:reservedLogSize,Cleaning:totalLogSize,Environment:environmentCreationTime,Eraser:eraserCycleEnd,Eraser:eraserCycleStart,Eraser:eraserFSyncs,Eraser:eraserFilesAlreadyDeleted,Eraser:eraserFilesDeleted,Eraser:eraserFilesErased,Eraser:eraserFilesRemaining,Eraser:eraserReadBytes,Eraser:eraserReads,Eraser:eraserWriteBytes,Eraser:eraserWrites,I/O:bufferBytes,I/O:endOfLog,I/O:fSync95Ms,I/O:fSync99Ms,I/O:fSyncAvgMs,I/O:fSyncMaxMs,I/O:nBytesReadFromWriteQueue,I/O:nBytesWrittenFromWriteQueue,I/O:nCacheMiss,I/O:nFSyncRequests,I/O:nFSyncs,I/O:nFileOpens,I/O:nGroupCommitRequests,I/O:nGrpCommitTimeouts,I/O:nLogBuffers,I/O:nLogFSyncs,I/O:nNoFreeBuffer,I/O:nNotResident,I/O:nOpenFiles,I/O:nRandomReadBytes,I/O:nRandomReads,I/O:nRandomWriteBytes,I/O:nRandomWrites,I/O:nReadsFromWriteQueue,I/O:nRepeatFaultReads,I/O:nRepeatIteratorReads,I/O:nSequentialReadBytes,I/O:nSequentialReads,I/O:nSequentialWriteBytes,I/O:nSequentialWrites,I/O:nTempBufferWrites,I/O:nWriteQueueOverflow,I/O:nWriteQueueOverflowFailures,I/O:nWritesFromWriteQueue,Jvm:PS MarkSweep.count,Jvm:PS MarkSweep.time,Jvm:PS Scavenge.count,Jvm:PS Scavenge.time,Jvm:heap,Jvm:loadAverage,Locks:nLatchAcquireNoWaitUnsuccessful,Locks:nLatchAcquiresNoWaitSuccessful,Locks:nLatchAcquiresNoWaiters,Locks:nLatchAcquiresSelfOwned,Locks:nLatchAcquiresWithContention,Locks:nLatchReleases,Locks:nRequests,Locks:nWaits,Node Compression:cursorsBins,Node Compression:dbClosedBins,Node Compression:inCompQueueSize,Node Compression:nonEmptyBins,Node Compression:processedBins,Node Compression:splitBins,OffHeap:offHeapAllocFailure,OffHeap:offHeapAllocOverflow,OffHeap:offHeapBINsLoaded,OffHeap:offHeapBINsStored,OffHeap:offHeapCachedBINDeltas,OffHeap:offHeapCachedBINs,OffHeap:offHeapCachedLNs,OffHeap:offHeapCriticalNodesTargeted,OffHeap:offHeapDirtyNodesEvicted,OffHeap:offHeapLNsEvicted,OffHeap:offHeapLNsLoaded,OffHeap:offHeapLNsStored,OffHeap:offHeapLruSize,OffHeap:offHeapNodesEvicted,OffHeap:offHeapNodesMutated,OffHeap:offHeapNodesSkipped,OffHeap:offHeapNodesStripped,OffHeap:offHeapNodesTargeted,OffHeap:offHeapThreadUnavailable,OffHeap:offHeapTotalBlocks,OffHeap:offHeapTotalBytes,Op:priDelete,Op:priDeleteFail,Op:priInsert,Op:priInsertFail,Op:priPosition,Op:priSearch,Op:priSearchFail,Op:priUpdate,Op:secDelete,Op:secInsert,Op:secPosition,Op:secSearch,Op:secSearchFail,Op:secUpdate,TaskCoordinator:nApplicationPermits,TaskCoordinator:nDeficitPermits,TaskCoordinator:nRealPermits
2022-08-29 02:08:19.963 UTC, , , , , , , , , ,125,3159893,14040, , ,3, ,9, , , , , , , , , ,3,3, , , , ,1,5, , , , , , , , , , , ,1, , , ,3159893,1377,1,744,744,1, ,2,4,1427,197613342520,57,57,57,57, , , , , ,1,12, , , , , , , , , , , , , , , , , , , , , , , , , ,1427,1661738895756,,, , , , , , , , , ,3145728,1377,5,5,2,5, , , ,4,4,3,5, ,3,5, , , , , ,38,1, , , ,12288,3,1389,5, , , , ,3,313,11,334,230725160,3, , , , , , ,9, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2022-08-29 02:08:20.611 UTC, , , , , , , , , ,125,3164453,18600, , ,4, ,15, , , , , , , , , ,4,4, , , , ,1,5, ,1, , , , , , , , , ,1, , , ,3164453,1377,1,744,744, , , , ,1427,197613342520,57,57,57,57, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1427,1661738895756,,, , , , , , , , , ,3145728,2411,3,3,2,3, , , ,9,9,2,9, ,3,9, , , , , , , , , , ,4096,2,1011,9, , , , , , , , ,248423816,3, , , , , , ,23, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,8, ,8,4,1, , , , , , , , , , 
2022-08-29 02:08:20.767 UTC, , , , , , , , , ,125,3160589,14736, , ,3,1,25,3,0.12, , , , , , , ,3,3, ,2,1,2,1,4, ,23,12, , , , , , , , ,1, , , ,3160589,3777,2, ,2508, , , , , , ,-1,-1,-1,-1, , , , , ,1,48, , , , , , , , , , , , , , , , , , , , , , , , , , ,1661738900672,,, , , , , , , , , ,3145728,3777, , , , , , ,21, , ,2, , ,3, , ,21, ,2048,1, , , , , ,103085,32, , , , , , ,3,313,11,334,260662720,3, , , , , , ,17, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2022-08-29 02:09:20.771 UTC, , , , , , , , , ,1469,3378317,230448,672, ,41, ,7681,1,0.00, , , , , , , ,41,8, , , ,22,7,12, ,5538,2, , , , , , , , ,1, , , ,3378317,3777,2, ,2508, , , , ,297663,197275397944,27,27,27,27, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,297663,1661738900672,,, , , , , , , , , ,3145728,297633,7,12,3,13, ,1320,4,215,181,3,215, ,3,184, ,4,1, , , , , , , ,10368,7,293839,178, , , ,4,1,115,2,48,400282360,2, , , , , , ,19636, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,228, ,3194, ,16844,3587,494,58, , , , , , , , , 
2022-08-29 02:10:20.555 UTC, , , , , , , , , ,1469,3378317,230448,672, ,41, ,12, , , , , , , , , ,41,8, , , ,22,7,12, , , , , , , , , , , ,1, , , ,3378317,3777,2, ,2508, , , , ,297663,196707245880,27,27,27,27, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,297663,1661738900672,,, , , , , , , , , ,3145728,297633,620,620,310,620, , , , , , , , ,3,2, , ,1, , , , , , , , , , , , , , , , , , , ,404163976,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,12, , , , , , , , , , 
2022-08-29 02:11:20.783 UTC, , , , , , , , , ,1469,3378317,230448,672, ,41, ,11, , , , , , , , , ,41,8, , , ,22,7,12, , , , , , , , , , , ,1, , , ,3378317,3777,2, ,2508, , , , ,297663,196707090232,27,27,27,27, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,297663,1661738900672,,, , , , , , , , , ,3145728,297633,3,3,1,3, , , , , , , , ,3,4, , ,1, , , , , , , , , , , , , , , , , , , ,405760760,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,11, , , , , , , , , , 
2022-08-29 02:12:20.792 UTC, , , , , , , , , ,1469,3378317,230448,672, ,41, ,12, , , , , , , , , ,41,8, , , ,22,7,12, , , , , , , , , , , ,1, , , ,3378317,3777,2, ,2508, , , , ,297663,196705656632,27,27,27,27, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,297663,1661738900672,,, , , , , , , , , ,3145728,297633,2,2,1,2, , , , , , , , ,3,2, , ,1, , , , , , , , , , , , , , , , , , , ,406735400,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,12, , , , , , , , , , 
2022-08-29 02:13:20.796 UTC, , , , , , , , , ,1469,3378317,230448,672, ,41, ,12, , , , , , , , , ,41,8, , , ,22,7,12, , , , , , , , , , , ,1, , , ,3378317,3777,2, ,2508, , , , ,297663,196637638456,27,27,27,27, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,297663,1661738900672,,, , , , , , , , , ,3145728,297633,517,517,174,517, , , , , , , , ,3,3, , ,1, , , , , , , , , , , , , , , , , , , ,407001912,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,12, , , , , , , , , , 
2022-08-29 02:14:20.803 UTC, , , , , , , , , ,1469,3378317,230448,672, ,41, ,12, , , , , , , , , ,41,8, , , ,22,7,12, , , , , , , , , , , ,1, , , ,3378317,3777,2, ,2508, , , , ,297663,196434923320,27,27,27,27, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,297663,1661738900672,,, , , , , , , , , ,3145728,297633,3,3,1,3, , , , , , , , ,3,3, , ,1, , , , , , , , , , , , , , , , , , , ,409756096,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,12, , , , , , , , , , 
2022-08-29 02:15:20.809 UTC, , , , , , , , , ,1469,3378317,230448,672, ,41, ,12, , , , , , , , , ,41,8, , , ,22,7,12, , , , , , , , , , , ,1, , , ,3378317,3777,2, ,2508, , , , ,297663,196199173944,27,27,27,27, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,297663,1661738900672,,, , , , , , , , , ,3145728,297633,3,3,1,3, , , , , , , , ,3,3, , ,1, , , , , , , , , , , , , , , , , , , ,410256336,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,12, , , , , , , , , , 
